date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
02-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,33610,34740.5,33601,34392.7,34439,33276.3,34392.7,9047050,3097123.94,1639425,-220900,25,34684
02-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,33679.95,34777.9,33679.95,34452.8,34504.55,33317.1,34452.8,208275,71417.99,102950,6400,25,34684
02-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,33784.5,34849.45,33784.5,34518.65,34554.35,33366.8,34518.65,22875,7856.34,12225,2525,25,34684
03-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,34675,34998.9,34097.5,34841.75,34799,34392.7,34841.75,5535750,1920162.45,1811850,172425,25,34684
03-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,34706.4,35054,34164.05,34899.95,34857.75,34452.8,34899.95,160225,55659.02,122025,19075,25,34684
03-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,34700,35099.95,34220.65,34952.95,34924.95,34518.65,34952.95,16150,5624.11,15100,2875,25,34684
04-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,34551.05,35488,34343.55,35352.05,35342.45,34841.75,35352.05,6119800,2136866.04,1740525,-71325,25,34684
04-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,34750,35552.05,34420,35423.75,35414,34899.95,35423.75,157525,55163.77,150050,28025,25,34684
04-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,34650,35600,34472.9,35500.6,35442.5,34952.95,35500.6,38750,13625.94,18900,3800,25,34684
05-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35575.9,36640,35527,35665.95,35792,35352.05,35665.95,8858700,3192624.08,1733625,-6900,25,34684
05-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35579.95,36700,35579.95,35736.95,35872.2,35423.75,35736.95,230325,83204.97,160775,10725,25,34684
05-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35791.75,36743.35,35689.15,35830.5,35924.05,35500.6,35830.5,28200,10191.16,19750,850,25,34684
08-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,36140,36503.5,35860,36013.8,36031,35665.95,36013.8,5659000,2047947.73,1581775,-151850,25,34684
08-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36131.35,36573.7,35931.15,36077.6,36112,35736.95,36077.6,166750,60510.95,160125,-650,25,34684
08-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35621.2,36618,35621.2,36141.2,36179.25,35830.5,36141.2,26325,9553.58,21600,1850,25,34684
09-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,36580,36580,35639,36045.95,35998,36013.8,36045.95,5795275,2094373.9,1580775,-1000,25,34684
09-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36132.15,36563.65,35731.6,36132.7,36070.85,36077.6,36132.7,157275,56897.21,165025,4900,25,34684
09-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36000.2,36609,35800,36217.25,36128,36141.2,36217.25,36525,13239.22,23875,2275,25,34684
10-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35960,36253,35462.75,35875.4,36003.95,36045.95,35875.4,5852675,2098877.2,1516950,-63825,25,34684
10-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36150,36323.65,35550,35972.65,36070,36132.7,35972.65,140550,50517.35,171400,6375,25,34684
10-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36340,36352,35620,36009.65,36125,36217.25,36009.65,22025,7921.85,25450,1575,25,34684
11-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35750,36067,35630,35808.75,35854.1,35875.4,35808.75,4145650,1485280.5,1582475,65525,25,34684
11-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35900,36127,35710,35893.05,35938.95,35972.65,35893.05,82900,29762.82,178725,7325,25,34684
11-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35901,36189.35,35786.35,35957.25,36000,36009.65,35957.25,16175,5817.11,23450,-2000,25,34684
12-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35770,36347.75,35720.15,36133.8,36159.45,35808.75,36133.8,5159050,1861460.2,1748375,165900,25,34684
12-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35879.6,36412.05,35800.95,36213.3,36225.5,35893.05,36213.3,134200,48536.69,180200,1475,25,34684
12-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,35950,36477.75,35878.35,36272.4,36290,35957.25,36272.4,16150,5855.15,22750,-700,25,34684
15-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,36455,37543.95,36423.45,37402.65,37540,36133.8,37402.65,4942075,1827629.38,1976025,227650,25,34684
15-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36113.95,37620,36113.95,37486.6,37614.9,36213.3,37486.6,207500,76940.77,210250,30050,25,34684
15-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36565.8,37660,36565.8,37529.65,37660,36272.4,37529.65,30975,11503.23,25700,2950,25,34684
16-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,37550,37770,36832.6,37218.15,37245,37402.65,37218.15,6467425,2410277.09,1705950,-270075,25,34684
16-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,37909.7,37909.7,36917,37295.35,37327.6,37486.6,37295.35,258750,96643.03,202400,-7850,25,34684
16-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,37750,37890,36990,37354.95,37384,37529.65,37354.95,23800,8896.53,25925,225,25,34684
17-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,37050.05,37400.55,36820,36976,36930,37218.15,36976,5429000,2013527.01,1537650,-168300,25,34684
17-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,37101.6,37465.95,36901.05,37038.8,37010.75,37295.35,37038.8,198675,73821.55,200925,-1475,25,34684
17-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,37200,37522.15,36994.5,37111.2,37069,37354.95,37111.2,20175,7511.61,26800,875,25,34684
18-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,37075,37125.15,36352,36603.3,36600,36976,36603.3,5162375,1893741.33,1568825,31175,25,34684
18-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,37115.05,37115.05,36440,36679.5,36678.25,37038.8,36679.5,244425,89815.99,230300,29375,25,34684
18-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,37163.6,37163.6,36520,36744.4,36752.8,37111.2,36744.4,20500,7548.86,28225,1425,25,34684
19-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,36402,36680,35570.25,35849.8,35922.6,36603.3,35849.8,6440375,2328658.57,1533925,-34900,25,34684
19-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,36407.9,36748.95,35650.2,35929.6,36013,36679.5,35929.6,496350,179615.95,273375,43075,25,34684
19-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36520,36814,35750,36019.4,36090,36744.4,36019.4,50400,18291.33,29525,1300,25,34684
22-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35622.35,36116,35075,35254.55,35168,35849.8,35254.55,5913250,2100950.33,1273925,-260000,25,34684
22-Feb-2021,25-Mar-2021,FUTIDX,BANKNIFTY,35925.05,36189.05,35134.75,35323.55,35220,35929.6,35323.55,833200,296289.36,497750,224375,25,34684
22-Feb-2021,29-Apr-2021,FUTIDX,BANKNIFTY,36067.15,36250,35238.45,35361.5,35285,36019.4,35361.5,62575,22288.99,34575,5050,25,34684
23-Feb-2021,25-Feb-2021,FUTIDX,BANKNIFTY,35580,35714.95,34988.75,35119.85,35148,35254.55,35119.85,5806750,2049706.85,1178875,-95050,25,34684
