date,expiry,instrument,symbol,open,high,low,close,last_traded_price,previous_close,settlement_price,traded_quantity,traded_value_lakhs,open_interest,change_in_open_interest,market_lot,underlying_value
17-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,18046,18087.7,17955,17970.25,17960,18063.25,17970.25,647700,116720.57,1670250,265250,50,
17-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18055.8,18150,18025.05,18041.85,18031,18135,18041.85,94850,17153.15,176150,14950,50,
18-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17890,17944,17692.1,17792.9,17770.1,17909.15,17792.9,8215000,1461687.93,9860850,-59150,50,
18-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17950,18000,17755,17851.1,17833.95,17970.25,17851.1,1382950,246752.48,2063450,393200,50,
18-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,18000.05,18064.2,17825.05,17919,17900,18041.85,17919,131550,23574.17,191950,15800,50,
22-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17797.75,17805,17301.55,17435.05,17449.9,17792.9,17435.05,10437100,1828782.34,9020350,-840500,50,
22-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17859.65,17859.65,17352.1,17484.5,17502,17851.1,17484.5,3129750,549908.16,3084100,1020650,50,
22-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17890.25,17891.85,17431.65,17555.15,17568.15,17919,17555.15,272150,48022.22,227750,35800,50,
23-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17325,17550,17250,17495.25,17489.6,17435.05,17495.25,9638250,1680632.74,7018700,-2001650,50,
23-Nov-2021,30-Dec-2021,FUTIDX,NIFTY,17352,17589.75,17301.1,17540.55,17536.4,17484.5,17540.55,4541900,794337.79,4982100,1898000,50,
23-Nov-2021,27-Jan-2022,FUTIDX,NIFTY,17468,17660,17374,17608.6,17608.4,17555.15,17608.6,275250,48240.72,296350,68600,50,
24-Nov-2021,25-Nov-2021,FUTIDX,NIFTY,17547.8,17605,17360,17408.1,17367.5,17495.25,17408.1,8440600,1478979.24,4766000,-2252700,50,17415.05
