date,index,open,high,low,close,traded_quantity,turnover_crores
13-APR-2026,NIFTY BANK,54646,55752.65,54356.2,55605.05,303606436,13923.52
15-APR-2026,NIFTY BANK,56343.45,56786.25,56109.2,56301.95,267999991,11842.19
16-APR-2026,NIFTY BANK,56657.25,56834.25,55898.25,56086.4,402203847,14096.58
17-APR-2026,NIFTY BANK,56072.4,56628.7,55841.65,56565.7,290559933,9847.76
20-APR-2026,NIFTY BANK,56704.05,57085.1,56356.55,56582.35,596140156,14322.75
21-APR-2026,NIFTY BANK,56823.6,57456.3,56696.3,57371.45,281413848,12169.87
22-APR-2026,NIFTY BANK,57163.35,57438.2,57002.15,57124.45,261934827,8290.54
23-APR-2026,NIFTY BANK,56608.95,56868.7,56217.15,56305,336307548,12081.19
24-APR-2026,NIFTY BANK,56170.2,56460.5,55750.4,56089.75,241210038,8903.2
27-APR-2026,NIFTY BANK,56162.6,56474.95,55911.1,56264.3,235494222,9140.62
28-APR-2026,NIFTY BANK,55862.5,56138.05,55263.75,55400.35,292572868,11063.72
29-APR-2026,NIFTY BANK,55634.5,56178.75,55290.5,55403.6,313099005,8349.57
30-APR-2026,NIFTY BANK,54880.65,55111.6,54440.25,54863.35,299008947,12752.95
04-MAY-2026,NIFTY BANK,54937.9,55602.3,54723.5,54878.5,282611679,10905.29
05-MAY-2026,NIFTY BANK,54691.3,54888.55,54221.65,54547.05,379764576,11440.82
06-MAY-2026,NIFTY BANK,55113.4,56078.8,54587.2,55981.05,653257428,12948.63
07-MAY-2026,NIFTY BANK,56114,56334.15,55783.2,56047.4,463458813,12910.17
08-MAY-2026,NIFTY BANK,55783.95,55797.7,55062.5,55310.55,429519591,13194.96
11-MAY-2026,NIFTY BANK,54832.45,55002.45,54360.7,54439.9,486830100,15093.47
12-MAY-2026,NIFTY BANK,54178.4,54365.45,53457.5,53555.2,364373903,11609.66
13-MAY-2026,NIFTY BANK,53600.4,54103.9,53194.25,53456.15,305888706,9802.4
14-MAY-2026,NIFTY BANK,53639.5,54393.75,53191.6,54128.95,311812842,10760.56
15-MAY-2026,NIFTY BANK,54207.75,54325.45,53628.3,53710.35,315128143,9386.86
18-MAY-2026,NIFTY BANK,53282.15,53667.55,52783.45,53537,311842492,8918.05
19-MAY-2026,NIFTY BANK,53553.75,53770.65,53337.05,53409.15,267772359,12908.09
20-MAY-2026,NIFTY BANK,53015.7,53640.9,52836.1,53562.2,221449458,7542.58
21-MAY-2026,NIFTY BANK,53963.1,54109.15,53156.15,53439.4,285518874,8275.44
22-MAY-2026,NIFTY BANK,53483.85,54213.05,53483.55,54055.35,229338156,6961.71
25-MAY-2026,NIFTY BANK,54610.55,55405.2,54590.7,55293.65,262419167,8342.54
26-MAY-2026,NIFTY BANK,55311.8,55536.8,54979.75,55092.9,321273666,10203.91
27-MAY-2026,NIFTY BANK,54992.95,55221.7,54738.6,54853.85,268052806,10775.54
29-MAY-2026,NIFTY BANK,54748.3,55184.45,54116.15,54239.2,1042592835,28804.71
01-JUN-2026,NIFTY BANK,54403.85,54582.75,53470,53643.1,322916279,8897.06
02-JUN-2026,NIFTY BANK,53265.1,53933.55,53121.85,53714.65,406403053,11650.52
03-JUN-2026,NIFTY BANK,53541.1,54299.35,53027.15,54185.95,339085249,11264.39
04-JUN-2026,NIFTY BANK,53918.85,54461,53829.4,54307.85,273684619,10811.33
05-JUN-2026,NIFTY BANK,54405.2,54865.5,54140.6,54496.25,368963233,9300.99
08-JUN-2026,NIFTY BANK,53853.45,54455.2,53843.3,54063.75,299385492,7633.01
09-JUN-2026,NIFTY BANK,54265,55318.35,54242.3,55194.5,409677431,12999.48
10-JUN-2026,NIFTY BANK,55110.5,55555.85,55026.15,55100.3,343154351,13345.76
11-JUN-2026,NIFTY BANK,54779.65,55600.15,54753.15,55176.75,339375955,12836.78
12-JUN-2026,NIFTY BANK,55934.1,56867.1,55726.55,56814.8,337387698,11266.63
15-JUN-2026,NIFTY BANK,57679.65,57804.5,57119.2,57198.8,350698837,10405.77
16-JUN-2026,NIFTY BANK,57320.1,57399.7,57076.25,57297.15,375449405,8421.31
17-JUN-2026,NIFTY BANK,57434.05,57646.15,57222.4,57585.05,583416456,8606.79
18-JUN-2026,NIFTY BANK,57596.45,58021.25,57583.2,57963.8,409619907,9497.94
19-JUN-2026,NIFTY BANK,57754.95,57804.9,57464.55,57685.75,285767830,8320.26
22-JUN-2026,NIFTY BANK,57906.9,58009.1,57720.1,57935.6,293508621,6179.56
23-JUN-2026,NIFTY BANK,57886.75,57970.9,57078.45,57183.75,267194713,8078.02
24-JUN-2026,NIFTY BANK,57074.9,58256.35,57074.9,58150.35,283234744,10087.13
25-JUN-2026,NIFTY BANK,58493.85,58706.05,58109.85,58177.05,296548901,11723.43
29-JUN-2026,NIFTY BANK,58191.45,58318.05,57637.25,57727.35,529807813,15216.72
30-JUN-2026,NIFTY BANK,58011.95,58011.95,57456.65,57542.9,398655816,12174.39
01-JUL-2026,NIFTY BANK,57573.35,58134.15,57487.85,58033.05,260449994,7701.11
02-JUL-2026,NIFTY BANK,58134.5,58396.1,57884.6,58031.65,273279890,10046.33
03-JUL-2026,NIFTY BANK,58343.25,58343.25,57799.05,57938.5,326266951,9480.81
06-JUL-2026,NIFTY BANK,57983.9,58477.3,57938.65,58291.5,284447133,12163.94
07-JUL-2026,NIFTY BANK,58567.85,58581.1,58110.1,58200.7,261922414,11929
08-JUL-2026,NIFTY BANK,57918.25,58075.6,56549.4,56742.6,304865203,10349.47
09-JUL-2026,NIFTY BANK,56871,57464.2,56867.3,57252.45,231570751,9445.81
10-JUL-2026,NIFTY BANK,57592.5,58251.95,57576.7,58045.9,235609950,7144.41
13-JUL-2026,NIFTY BANK,57616.7,58219.9,57492.05,58131.45,210287279,6997.35
14-JUL-2026,NIFTY BANK,57832.55,57840.05,57286.9,57462.3,206834900,8016.84
15-JUL-2026,NIFTY BANK,57643.75,58148.8,57545.2,57757.85,230970224,8790.46
16-JUL-2026,NIFTY BANK,57831.1,57931.3,57420.15,57582.25,171394681,6123.09
17-JUL-2026,NIFTY BANK,57662,58596.85,57542.15,58521.4,251882325,8903.72
20-JUL-2026,NIFTY BANK,57738.25,58111,57533.1,57945,540528621,18065.28
21-JUL-2026,NIFTY BANK,57853.75,58228.65,57803.85,57835.35,312604570,12366.59
22-JUL-2026,NIFTY BANK,57768.4,57824,56970.6,57126.8,308515444,7728.65
23-JUL-2026,NIFTY BANK,56796.95,56930.15,56374.75,56592,194915859,8507.11
24-JUL-2026,NIFTY BANK,56169.4,56831.45,56023.6,56693.5,218024643,8000.63
27-JUL-2026,NIFTY BANK,57116.8,57330.05,56928.65,57087.2,398387155,9692.63
28-JUL-2026,NIFTY BANK,56883.55,57054.2,56672.4,56755.6,282555108,9697.22
29-JUL-2026,NIFTY BANK,57126.6,57315.95,56939.35,57205.9,176189113,6678.71
30-JUL-2026,NIFTY BANK,57127.05,57236.65,56768.6,57147.5,202892201,8169.9
31-JUL-2026,NIFTY BANK,57225.9,57411.25,57139.6,57264.85,158786434,6939.06
03-AUG-2026,NIFTY BANK,57569.6,58247.95,57465.95,58247.95,152662019,5910.97
04-AUG-2026,NIFTY BANK,58068.95,58068.95,57352.65,57907.2,168682264,7105.46
05-AUG-2026,NIFTY BANK,57810.05,57931.85,57456.35,57739.95,240351099,9559.88
06-AUG-2026,NIFTY BANK,57815,58076.85,57714.7,58063.65,211701254,9919.88
07-AUG-2026,NIFTY BANK,57882,57994.45,57686.55,57746.45,180042934,9054.21
10-AUG-2026,NIFTY BANK,57812.3,58015.85,57527.75,57686.95,172005195,7495.11
11-AUG-2026,NIFTY BANK,57604.35,57607.25,57158.1,57446.25,162323567,7195.74
12-AUG-2026,NIFTY BANK,57391.8,57885.85,57254,57885.85,269649866,8587.18
13-AUG-2026,NIFTY BANK,57799.15,57799.15,57548.6,57635.25,144733503,6176.86
14-AUG-2026,NIFTY BANK,57589.75,57681.45,57380.45,57491.1,144905798,5292.37
17-AUG-2026,NIFTY BANK,57418.3,57757.25,57119.6,57497.8,155571183,4841.98
18-AUG-2026,NIFTY BANK,57325.55,57584.7,57217.6,57262.4,129690080,4694.94
19-AUG-2026,NIFTY BANK,57260.65,57356.85,57001.75,57239.75,139396903,5266.08
20-AUG-2026,NIFTY BANK,57507.65,57702.95,57431.8,57495.9,135314818,5347.76
21-AUG-2026,NIFTY BANK,57613.2,57772.45,57481.55,57761.95,147509808,5593.11
24-AUG-2026,NIFTY BANK,57828.15,57873.75,57245.95,57525.95,148624208,4953.76
25-AUG-2026,NIFTY BANK,57360.65,57653.85,57231.25,57514.2,198853334,6711.19
26-AUG-2026,NIFTY BANK,57628.65,57996.05,57611.85,57783.75,170633496,5301.51
27-AUG-2026,NIFTY BANK,57985,58012.4,57509.95,57509.95,193616409,8832.1
28-AUG-2026,NIFTY BANK,57429.75,57596.4,57264,57496.3,165016474,5145.74
31-AUG-2026,NIFTY BANK,57353.75,58024.95,57187.35,58024.95,309190401,11716.21
01-SEP-2026,NIFTY BANK,57560.3,57766.25,57150.7,57409.6,198506270,7827.36
02-SEP-2026,NIFTY BANK,57006.45,57221.1,56823.2,57172,198861189,8074.15
03-SEP-2026,NIFTY BANK,57497.85,57753.6,57380.6,57380.6,213305260,6625.7
